OBJECTID,OID_,COMID,EVENTDATE,REACHCODE,REACHSMDAT,REACHRESOL,FEATURECOM,FEATURECLA,SOURCE_ORI,SOURCE_DAT,SOURCE_FEA,FEATUREDET,Measure,Offset,EventType,FLComID,Agency_CD,Station_NM,State_CD,State,DASqKm,LatSite,LonSite,IsActive,ned_10m
-1,-1,0,12/4/2014 0:00:00,12100201000099.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8165500.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08165500,36.189839999999997,0.000000000000000,StreamGage,3586192,USGS,"Guadalupe Rv at Hunt, TX",48,TX,288.000000000000000,30.069930740000000,-99.321712199999993,1,533.7488403
-1,-1,0,12/4/2014 0:00:00,12100201000067.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8166140.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08166140,46.736590000000000,0.000000000000000,StreamGage,3585626,USGS,"Guadalupe Rv abv Bear Ck at Kerrville, TX",48,TX,494.000000000000000,30.069653779999999,-99.195320300000006,1,506.2851563
-1,-1,0,12/4/2014 0:00:00,12100203000084.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8171000.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08171000,68.319389999999999,0.000000000000000,StreamGage,1630223,USGS,"Blanco Rv at Wimberley, TX",48,TX,355.000000000000000,29.994380799999998,-98.088898000000000,1,253.3508759
-1,-1,0,12/4/2014 0:00:00,12100201000060.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8166250.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08166250,35.582909999999998,0.000000000000000,StreamGage,3587616,USGS,"Guadalupe Rv nr Center Point, TX",48,TX,553.000000000000000,29.987777779999998,-99.109999999999999,1,470.7544250
-1,-1,0,12/4/2014 0:00:00,12100203000077.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8171300.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08171300,48.242750000000001,0.000000000000000,StreamGage,1631023,USGS,"Blanco Rv nr Kyle, TX",48,TX,412.000000000000000,29.979382970000000,-97.910005100000006,1,194.7095184
-1,-1,0,12/4/2014 0:00:00,12100201000045.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8167000.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08167000,74.224490000000003,0.000000000000000,StreamGage,3589508,USGS,"Guadalupe Rv at Comfort, TX",48,TX,839.000000000000000,29.965238889999998,-98.897166700000000,1,420.6105042
-1,-1,0,12/4/2014 0:00:00,12100201000006.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8167500.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08167500,62.745519999999999,0.000000000000000,StreamGage,3589120,USGS,"Guadalupe Rv nr Spring Branch, TX",48,TX,1315.000000000000000,29.860495700000001,-98.383627500000003,1,290.6659546
-1,-1,0,12/4/2014 0:00:00,12100202000134.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8167800.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08167800,42.861159999999998,0.000000000000000,StreamGage,1619595,USGS,"Guadalupe Rv at Sattler, TX",48,TX,1436.000000000000000,29.859107580000000,-98.180010600000003,1,235.7641449
-1,-1,0,12/4/2014 0:00:00,12100202000720.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8168500.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08168500,18.502669999999998,0.000000000000000,StreamGage,1620031,USGS,"Guadalupe Rv abv Comal Rv at New Braunfels, TX",48,TX,1518.000000000000000,29.714946500000000,-98.110008300000004,1,192.8320465
-1,-1,0,12/4/2014 0:00:00,12100203000050.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8172000.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08172000,80.283980000000000,0.000000000000000,StreamGage,1631387,USGS,"San Marcos Rv at Luling, TX",48,TX,838.000000000000000,29.666340370000000,-97.650831400000001,1,99.1650696
-1,-1,0,12/4/2014 0:00:00,12100203000009.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8173500.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08173500,18.914539999999999,0.000000000000000,StreamGage,1631413,USGS,"San Marcos Rv at Ottine, TX",48,TX,1249.000000000000000,29.592608330000001,-97.588088900000002,0,87.0437241
-1,-1,0,12/4/2014 0:00:00,12100202000102.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8169792.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08169792,90.367649999999998,0.000000000000000,StreamGage,1620877,USGS,"Guadalupe Rv at FM 1117 nr Seguin, TX",48,TX,1957.000000000000000,29.536166670000000,-97.880944400000004,1,126.6520615
-1,-1,0,12/4/2014 0:00:00,12100202000719.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8173900.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08173900,53.174210000000002,0.000000000000000,StreamGage,1622713,USGS,"Guadalupe Rv at Gonzales, TX",48,TX,3490.000000000000000,29.484404139999999,-97.450270200000006,1,76.8535309
-1,-1,0,12/4/2014 0:00:00,12100204000052.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8175800.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08175800,2.606150000000000,0.000000000000000,StreamGage,1637447,USGS,"Guadalupe Rv at Cuero, TX",48,TX,4934.000000000000000,29.090531469999998,-97.329712900000004,1,41.6974030
-1,-1,0,12/4/2014 0:00:00,12100204000014.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8176500.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08176500,68.005279999999999,0.000000000000000,StreamGage,1639225,USGS,"Guadalupe Rv at Victoria, TX",48,TX,5198.000000000000000,28.793045599999999,-97.013042900000002,1,12.1262751
-1,-1,0,12/4/2014 0:00:00,12100204000011.000000000000000,,Medium,0,0,"USGS, Water Resources Division",,8177520.000000000000000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=08177520,84.265169999999998,0.000000000000000,StreamGage,1640519,USGS,"Guadalupe Rv nr Bloomington, TX",48,TX,5816.000000000000000,28.661944439999999,-96.965277799999996,1,1.3243817