agency_cd,site_no,measurement_nu,measurement_dt,tz_cd,q_meas_used_fg,party_nm,site_visit_coll_agency_cd,gage_height_va,discharge_va,current_rating_nu,shift_adj_va,diff_from_rating_pc,measured_rating_diff,gage_va_change,gage_va_time,control_type_cd,discharge_cd,chan_nu,chan_name,meas_type,streamflow_method,velocity_method,chan_discharge,chan_width,chan_area,chan_velocity,chan_stability,chan_material,chan_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,chan_loc_cd,chan_loc_dist
5s,15s,6s,19d,12s,1s,12s,5s,12s,12s,4s,6s,6s,12s,7s,6s,21s,15s,11n,64s,4s,5s,5s,14s,14s,14s,14s,4s,4s,4s,12s,9s,12s,7s,14s
USGS,8158810,1,1978-03-01,,Yes,EEW/AMM,USGS,2.49,0.06,1,0,,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,0.06,1.1,0.12,0.46,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,2,1978-04-10,,Yes,EEW/MED,USGS,2.52,0.66,1,0,,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,0.66,4.6,0.91,0.73,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,3,1978-06-07,,Yes,EEW/MED,USGS,2.61,2.15,1,0,,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,2.15,9.4,3.25,0.66,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,4,1978-09-08,,Yes,AMM,USGS,2.47,0.01,1,0,,POOR,,,,MEAS,1,Unspecified,OTHR,Q-EST,,0.01,,,,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,5,1978-09-27,,Yes,EEW/B,USGS,2.52,0.35,1,0,,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,0.35,2,0.37,0.95,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,6,1978-11-06,,Yes,AMM/MED,USGS,2.6,1.29,1,-0.11,-1,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,1.29,9,2.95,0.44,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,7,1979-01-12,,Yes,MED,USGS,3.1,29.6,1,0.09,1,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,29.6,2,14.4,2.06,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,9,1979-02-23,,Yes,RMS/JDG,USGS,6.57,1110,1,0,0,POOR,,,,MEAS,1,Unspecified,OTHR,QIDIR,,1110,,,,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,8,1979-02-23,,Yes,RMS/JDG,USGS,4.87,396,1,0,8,POOR,,,,MEAS,1,Unspecified,OTHR,QIDIR,,396,,,,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,10,1979-03-21,,Yes,MED/RMS,USGS,3.58,73.6,1,0,0,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,73.6,32,30.8,2.39,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,11,1979-04-18,,Yes,RMS/JKV,USGS,9.24,3050,1,0,0,POOR,,,,MEAS,1,Unspecified,OTHR,QIDIR,,3050,,,,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,12,1979-06-12,,Yes,MED/RMS,USGS,2.85,10.6,1,0,0,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,10.6,19,9.26,1.15,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,13,1979-08-23,,Yes,MED,USGS,2.55,2.28,1,0,0,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,2.28,12.4,2.66,0.89,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,14,1979-10-02,,Yes,MED,USGS,2.43,0.6,1,0,-5,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,0.6,7,1.15,0.52,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,15,1979-11-13,,Yes,MED,USGS,2.39,0.42,1,0,5,POOR,,,,UNSP,1,Unspecified,OTHR,Q-EST,,0.42,,,,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,16,1979-12-20,,Yes,MED,USGS,2.42,0.56,1,0,-1,POOR,,,,MEAS,1,Unspecified,OTHR,Q-EST,,0.56,,,,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,17,1980-01-28,,Yes,MED,USGS,2.44,0.34,1,-0.07,3,FAIR,-0.01,,,MEAS,1,Unspecified,WADE,QUNSP,,0.34,6,0.76,0.44,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,18,1980-03-12,,Yes,MED,USGS,2.49,1.07,1,-0.02,3,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,1.07,11,2.58,0.41,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,19,1980-04-21,,Yes,MED,USGS,2.56,1.54,1,-0.05,-3,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,1.54,11.9,1.96,0.78,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,20,1980-05-23,,Yes,RNM,USGS,3.14,14,1,-0.21,0,GOOD,0,,,MEAS,1,Unspecified,WADE,QUNSP,,14,22,6.95,2.02,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,21,1980-06-03,,Yes,MED,USGS,2.82,9.27,1,0,-3,GOOD,-0.01,,,MEAS,1,Unspecified,WADE,QUNSP,,9.27,18.4,8.66,1.07,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,22,1980-07-15,,Yes,MED,USGS,2.45,0.39,1,-0.06,2.5,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,0.39,6.5,1.43,0.27,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,23,1980-08-21,,Yes,MED,USGS,2.37,0.05,1,-0.17,0,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,0.05,0.4,0.03,1,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,24,1980-10-06,,Yes,MED,USGS,2.84,8.59,1,-0.05,1,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,8.59,20,8.23,1.04,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,25,1980-11-18,,Yes,MED,USGS,2.56,2.03,1,-0.02,0,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,2.03,11.5,3.85,0.53,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,26,1980-12-29,,Yes,MED,USGS,2.63,3.51,1,-0.02,0,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,3.51,10.5,4.68,0.75,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,27,1981-02-10,,Yes,MED,USGS,2.75,7.15,1,-0.01,,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,7.15,19.8,8.46,0.85,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,28,1981-03-23,,Yes,MED,USGS,2.87,12.9,1,0.03,,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,12.9,20,10.3,1.25,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,29,1981-05-05,,Yes,MED,USGS,2.61,2.71,1,-0.04,,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,2.71,13.5,4.43,0.61,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,30,1981-06-11,,Yes,MED/RMS,USGS,13.05,8330,1,0,,POOR,,,,MEAS,1,Unspecified,OTHR,QIDIR,,8330,,,,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,31,1981-06-22,,Yes,MED,USGS,3.17,41.2,1,0.16,0,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,41.2,27.4,24.4,1.68,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,32,1981-07-27,,Yes,MED,USGS,2.59,3.95,1,0.04,3,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,3.95,14.5,8.82,0.45,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,33,1981-09-09,,Yes,MED,USGS,2.46,1.22,1,0.02,-5,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,1.22,8,1.69,0.72,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,34,1981-10-23,,Yes,MED,USGS,2.57,3.65,1,0.04,-2,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,3.65,16,8.76,0.42,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,35,1981-12-01,,Yes,MED,USGS,2.49,1.55,1,0.02,-1,GOOD,0,,,MEAS,1,Unspecified,WADE,QUNSP,,1.55,9,2.51,0.62,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,36,1982-01-11,,Yes,MED,USGS,2.54,0.77,1,-0.09,-3,FAIR,0.01,,,MEAS,1,Unspecified,WADE,QUNSP,,0.77,8.5,1.75,0.44,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,37,1982-02-24,,Yes,MED,USGS,2.4,0.46,1,0,2,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,0.46,8.5,1.74,0.26,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,38,1982-04-06,,Yes,MED,USGS,2.38,0.29,1,-0.02,-3,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,0.29,3.3,0.38,0.76,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,39,1982-05-20,,Yes,MED,USGS,2.75,15.9,1,0.22,-1,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,15.9,20.5,15.2,1.05,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,40,1982-06-29,,Yes,MED,USGS,2.39,3.08,1,0.2,0,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,3.08,16,7.48,0.41,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,41,1982-08-23,,Yes,MED,USGS,2.13,0.09,1,0.11,,FAIR,0,,,MEAS,1,Unspecified,WADE,QUNSP,,0.09,0.4,0.08,1.13,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,42,11/15/82 11:40 AM,CST,Yes,MED,USGS,2.23,0.38,1,0.15,3,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.38,4,0.45,0.84,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,43,12/28/82 02:52 PM,CST,Yes,MED,USGS,2.4,3.07,1,0.19,0,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,3.07,15,6.81,0.45,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,44,02/07/83 12:20 PM,CST,Yes,MED,USGS,2.42,4.24,1,0.22,-2,GOOD,0,,LGDB,MEAS,1,Unspecified,WADE,QUNSP,,4.24,17,7.64,0.55,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,45,03/21/83 10:50 AM,CST,Yes,MED,USGS,2.64,11.8,1,0.24,0,GOOD,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,11.8,18,10.1,1.17,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,46,05/04/83 11:02 AM,CDT,Yes,MED,USGS,2.36,3.18,1,0.23,3,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,3.18,15.5,6.37,0.5,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,47,06/22/83 02:03 PM,CDT,Yes,MED,USGS,2.46,6.57,1,0.26,0,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,6.57,17.4,10.5,0.62,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,48,07/26/83 01:09 PM,CDT,Yes,MED,USGS,2.42,5.33,1,0.26,-2,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,5.33,17,12.3,0.43,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,49,09/07/83 11:02 AM,CDT,Yes,MED,USGS,2.17,1.05,1,0.3,2,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,1.05,8,1.89,0.55,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,50,10/19/83 01:35 PM,CDT,Yes,MED,USGS,2.26,1.96,1,0.27,3,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,1.96,15,8.86,0.22,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,51,11/30/83 12:47 PM,CST,Yes,MED,USGS,2.18,1.09,1,0.29,1,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,1.09,7.2,2.9,0.38,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,52,01/05/84 02:27 PM,CST,Yes,MED,USGS,2.15,0.79,1,0.3,-1,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.79,9.2,2.28,0.35,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,53,02/23/84 10:45 AM,CST,Yes,MED,USGS,2.16,0.88,1,0.3,-3,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.88,7.3,2.98,0.3,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,54,04/03/84 02:54 PM,CST,Yes,MED,USGS,2.19,0.95,1,0.27,5,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.95,10.5,3.15,0.3,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,55,05/14/84 10:46 AM,CDT,Yes,MED,USGS,2.07,0.26,1,0.28,-6,FAIR,0,,LGDB,MEAS,1,Unspecified,WADE,QUNSP,,0.26,2.7,0.43,0.6,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,56,11/02/84 11:38 AM,CST,Yes,MED,USGS,2.42,2.86,1,0.16,0,FAIR,0.02,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,2.86,15.5,9.06,0.32,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,57,1984-12-17,,Yes,MED,USGS,2.53,6.44,1,0.19,-2,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,6.44,17,9.39,0.68,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,58,1985-01-23,,Yes,MED,USGS,2.74,14.9,1,0.21,-1,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,14.9,20.5,14.4,1.04,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,59,1985-03-11,,Yes,MED,USGS,2.64,12.4,1,0.25,2,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,12.4,20.6,13.9,0.89,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,60,1985-04-19,,Yes,MED,USGS,2.46,5.83,1,0.23,2,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,5.83,18,11.9,0.49,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,61,05/30/85 09:25 AM,CDT,Yes,MED,USGS,2.25,1.43,1,0.25,-1,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,1.43,14,4.19,0.34,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,62,07/11/85 09:35 AM,CDT,Yes,MED,USGS,2.41,3.87,1,0.21,2,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,3.87,18,10.2,0.38,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,63,1985-08-22,,Yes,MED,USGS,2.14,0.22,1,0.19,-1,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.22,3.8,0.51,0.43,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,64,10/02/85 09:42 AM,CDT,Yes,MED/S,USGS,2.22,0.8,1,0.23,0,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.8,11,2.89,0.28,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,66,1985-11-21,,Yes,MED,USGS,2.42,4.05,1,0.22,-6,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,4.05,17,11.6,0.35,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,65,11/21/85 09:57 AM,CST,Yes,MED,USGS,2.42,4.38,1,0.22,1,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,4.38,16.4,6.54,0.67,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,67,12/24/85 10:46 AM,CST,Yes,MED,USGS,2.58,8.32,1,0.2,-1,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,8.32,18,10.7,0.78,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,68,02/07/86 11:47 AM,CST,Yes,MED,USGS,2.46,4.91,1,0.2,0,FAIR,0,,CLER,MEAS,1,Unspecified,WADE,QUNSP,,4.91,18,9.9,0.5,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,69,1986-03-27,,Yes,MED,USGS,2.32,1.73,1,0,,FAIR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,1.73,14,4.48,0.39,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,70,1986-05-12,,Yes,DLS,USGS,2.58,6.72,,0,,FAIR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,6.72,18.5,11.4,0.59,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,71,1986-06-25,,Yes,DLS,USGS,2.64,9.83,,0,,FAIR,0,1,LGDB,MEAS,1,Unspecified,WADE,QUNSP,,9.83,19.5,13.7,0.94,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,72,1986-08-05,,Yes,DLS,USGS,2.33,0.97,,0,,POOR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.97,10.7,2.75,0.36,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,73,1986-09-16,,Yes,DLS,USGS,2.3,0.44,,0,,POOR,0,1,CLER,MEAS,1,Unspecified,WADE,QUNSP,,0.44,8.6,3.22,0.14,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
USGS,8158810,74,1986-10-31,,Yes,DLP,USGS,2.82,0,2,0,,GOOD,0,1,CLER,UNSP,1,Unspecified,WADE,QUNSP,,0,16,29,0.69,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
